id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6400,The Studio Milan,13822,Francesca,,TIBALDI,45.44195,9.17797,Private room,100,4,11,2018-04-21,0.10,1,358
23986,""" Characteristic Milanese flat""",95941,Jeremy,,NAVIGLI,45.44991,9.17597,Entire home/apt,150,1,12,2018-04-22,0.14,1,325
28300,nice flat near the park,121663,Marta,,SARPI,45.47814,9.17294,Private room,200,1,8,2015-10-25,0.09,1,362
32119,Nico & Cynthia's Easy Yellow Suite,138683,Nico&Cinzia,,VIALE MONZA,45.51988,9.2231,Entire home/apt,70,3,15,2018-07-01,0.14,5,242
32649,Nico&Cinzia's Red Easy Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.51942,9.22615,Entire home/apt,70,3,28,2019-01-03,0.26,5,293
37256,COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,119002,Giancarlo,,GUASTALLA,45.47074,9.20578,Private room,55,2,31,2019-03-18,0.30,2,365
40470,Giacinto Cosy & clean flat near MM1,174203,Giacinto,,VIALE MONZA,45.52111,9.22727,Entire home/apt,88,3,36,2017-07-24,0.36,2,326
42732,"Navigli near down town, linked Expo",186608,Francesco,,TICINESE,45.45664,9.17662,Entire home/apt,290,1,14,2018-04-22,0.32,2,363
46536,Nico & Cinzia's Pink Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.52213,9.22693,Entire home/apt,70,3,24,2018-07-03,0.27,5,285
52181,Nico House,241148,Daniele Nicola,,BAGGIO,45.46443,9.09046,Entire home/apt,60,4,0,,,1,100
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,246217,Cristina,,BUENOS AIRES - VENEZIA,45.48055,9.21629,Entire home/apt,125,3,2,2016-04-16,0.05,1,365
55388,Milan 70mq fashion/design district,261549,Christian,,GIAMBELLINO,45.44976,9.13637,Entire home/apt,95,3,6,2018-09-30,0.10,1,309
62215,100 m. Central Station - Quadruple Room,302607,Larysa,,CENTRALE,45.48835,9.20212,Private room,700,1,43,2017-01-30,0.45,15,355
65142,Very Nice Luxury Apt Central Milan,318394,Angelo,,CENTRALE,45.48023,9.20181,Entire home/apt,71,25,350,2018-09-23,3.53,1,306
69749,Charming Apt in the heart of Milan,144021,Silvia&Max,,XXII MARZO,45.46739,9.20786,Entire home/apt,140,2,93,2018-08-31,0.94,3,86
70591,Chiara & Mesopotamia: Charmy & Lightly home,358567,Chiara,,SARPI,45.48207,9.17906,Private room,50,1,161,2019-03-17,1.63,1,340
74169,BRERA design district 2019,268127,Alessandra,,BRERA,45.47169,9.18412,Entire home/apt,125,2,3,2016-04-16,0.03,1,195
74835,Amazin attic in front of the castle,157872,Augusto,,DUOMO,45.4689,9.17943,Entire home/apt,280,7,3,2017-04-09,0.05,1,0
77958,BRERA  LOVELY WHITE BOAT STUDIO 2,387110,Silvia,,BRERA,45.47117,9.19135,Entire home/apt,100,2,70,2019-02-25,0.76,1,285
79696,Special loft Navigli/Bocconi/Duomo,429570,Cristina,,TICINESE,45.44844,9.1822,Entire home/apt,90,2,44,2019-02-25,0.45,4,154
81202,Sunny Apartment Milan,439051,Gian Luca,,ISOLA,45.49019,9.19659,Entire home/apt,75,3,6,2018-04-21,0.06,1,364
81908,DESIGN FASHION WEEK APARTMENTT,445128,Anna,,BANDE NERE,45.45364,9.14172,Entire home/apt,250,7,4,2019-03-05,0.04,1,44
82227,Great apartment in Milan's center,447162,Michele,,WASHINGTON,45.46438,9.16144,Entire home/apt,120,3,5,2015-03-05,0.05,1,363
83335,PORTA ROMANA SPACIOUS 1BR FLAT - 10 MIN TO DUOMO!,454244,Andrea,,PORTA ROMANA,45.4509,9.2117,Entire home/apt,75,2,62,2018-09-23,0.64,1,0
84119,100 m Central Station - Single Room,302607,Larysa,,CENTRALE,45.48845,9.20365,Private room,300,1,21,2016-11-15,0.30,15,355
84741,Nice room with private bathroom,443989,Francesca,,LAMBRATE,45.47057,9.24333,Private room,27,2,374,2019-03-21,3.88,3,19
84903,Cozy apartment for rent in Milano!!,464513,Alessandra,,LAMBRATE,45.4708,9.24082,Entire home/apt,40,3,22,2019-03-31,0.26,1,154
84997,100 m. Central Station - Triple Room,302607,Larysa,,CENTRALE,45.48865,9.2021,Private room,600,1,15,2017-01-04,0.19,15,0
84998,100 m Central Station - Double Room,302607,Larysa,,CENTRALE,45.48848,9.2031,Private room,500,1,18,2016-12-24,0.24,15,354
85089,Flat in San Siro District Milan.,465756,Danilo,,SELINUNTE,45.47106,9.13641,Entire home/apt,140,3,8,2016-04-17,0.09,1,365
85798,"The Family Loft, Terrace | Parking | MILANO",470396,Michelle,,LAMBRATE,45.47251,9.24645,Entire home/apt,188,2,56,2019-03-28,0.60,1,13
88130,Great comfortable & quite APT. x 4 people!,481475,Cinzia,,VILLAPIZZONE,45.49743,9.14572,Entire home/apt,195,2,5,2018-11-06,0.06,1,342
90830,Beautiful original loft with garden,414209,Laura,,NAVIGLI,45.44658,9.16419,Entire home/apt,235,2,12,2018-04-23,0.12,1,362
93025,Elegant Apartment - Milano downtown,499743,Angela,,GUASTALLA,45.47204,9.1964,Entire home/apt,120,7,56,2018-12-09,0.67,1,353
93232,Spacious luminous central flat,500414,Chiara,,XXII MARZO,45.46635,9.21423,Private room,60,5,9,2017-02-24,0.09,1,363
93888,44 Suite Harmony Central train Station,502750,Silvano,,CENTRALE,45.48376,9.20403,Entire home/apt,90,1,409,2019-04-06,4.69,4,355
94043,beautiful apartment in Moscova area,503193,Silvia,,SARPI,45.4811,9.17956,Entire home/apt,180,14,22,2015-04-19,0.25,2,9
94233,Nice Loft close to C.so Como Milan,503840,Andre & A.,,ISOLA,45.48712,9.193,Entire home/apt,95,1,38,2018-04-21,0.39,4,346
94354,Dbl/Trpl Room metro M5 Marche 8' from Central St.,493149,Giò,,MACIACHINI - MAGGIOLINA,45.49765,9.19382,Private room,28,1,85,2019-04-06,0.88,2,65
98119,NiceRoom & SofàBed under the Roof !,503840,Andre & A.,,ISOLA,45.4875,9.19183,Private room,65,2,33,2017-12-31,0.35,4,346
98500, LUXURIOUS bright adjacent Avenida ,514653,Angelo,,CITTA' STUDI,45.48539,9.22686,Private room,195,1,11,2017-06-15,0.13,4,365
100638,Nice room in a nice villa in Milano,528516,Gianni & Serena,,ADRIANO,45.50695,9.23904,Private room,100,1,2,2012-11-12,0.02,3,346
